iyear,local_datetime,location_street_address,location_city_name,location_county_name,name,narrative,fatal,injure,ignite_ind,date
2024,2024-01-12T08:40:00Z,3315 GREENFIELD RD,MELVINDALE,WAYNE COUNTY,DTE GAS COMPANY,"BRICCO CONSTUCTION, A CONTRACTOR FOR THE CITY OF MELVINDALE, WAS BORING WATER MAIN.  ON PULLBACK, A 24"" 50PSIG CAST IRON MAIN WAS HIT, CAUSING A 4"" DIAMETER HOLE.  THE LINE WAS MARKED BUT THE CONTRACTOR DID NOT VERIFY LOCATION VIA POTHOLES. THIS WAS REPORTED TO THE MICHIGAN PUBLIC SERVICE COMMISSION AT 10:20AM ON 01/12/24 DUE TO THE COST BEING OVER $10K TO REPAIR, THE CLOSURE OF GREENFIELD RD, 189 CUSTOMERS AFFECTED, POTENTIAL MEDIA, AND OVER 1MMCF OF GAS LOSS.  THIS WAS ALSO REPORTED TO PHMSA/NRC AT 14:58 ON 01/12/24 UPON GAS LOSS CALCULATION ESTIMATED TO BE OVER 3MMCF.  THE GAS WAS SHUT OFF AT 17:10 ON 01/12/24 VIA MAIN LINE VALVES, AND A REPAIR WAS MADE AND GAS WAS RESTABLISHED AT 00:30 ON 01/13/24, AND AT 01:45 THE 189 CUSTOMERS BEGAN TO BE RELIT AND CONTINUED THROUGHOUT THE DAY ON 01/13/24.",0,0,NO,2024-01-12
2023,2023-10-17T12:45:00Z,565 E MILWAUKEE AVE,DETROIT,WAYNE,DTE GAS COMPANY,"2ND PARTY CONTRACTOR IMPACTED AN OBJECT WHILE BORING FOR NEW GAS MAIN AT 12:45 ON 10/17/23. THIS OBJECT IN-TURN IMPACTED A REDUCING FITTING ON A 12"" 10 PSI CAST-IRON MAIN THAT WAS ADJACENT TO THE BORE PATH, CAUSING A CRACK AND A LEAK. THE REDUCING FITTING WAS ON AN UNMAPPED STUB FROM ACTIVITY DONE IN YEAR 1950. GAS WAS SHUT OFF AT 02:28 ON 10/18/23.  REPAIR ACTIVITIES WERE INITIALLY NOT EXPECTED TO EXCEED $10K TOTAL COST, NOR ANY OTHER REPORTING THRESHOLD, SO MICHIGAN PUBLIC SERVICE COMMISSION WAS NOT INITIALLY NOTIFIED. OPERATIONS UPDATED AT 07:33 THE FOLLOWING MORNING THAT A DECISION HAD BEEN MADE TO REPLACE 25' OF THE MAIN RATHER THAN PERFORM THE INITIALLY INTENDED REPAIR, IN ORDER TO AVOID CUSTOMER OUTAGES. THIS CHANGE CAUSED THE REPAIR COST TO EXCEED THE $10K THRESHOLD AND THE MPSC INCIDENT REPORTING LINE WAS NOTIFIED AT 08:19 ON 10/18/23.  AFTER REPAIR, GAS LOSS WAS CALCULATED AND ESTIMATED AT 4872MCF, WHICH CAUSED THIS INCIDENT TO BE PHMSA REPORTABLE. ALSO NOTIFIED CHEMICAL SAFETY BOARD (CSB).",0,0,NO,2023-10-17
2023,2023-05-02T10:00:00Z,26010 PENN STREET,INKSTER,WAYNE,DTE GAS COMPANY,"A DTE CREW WAS IN THE PROCESS OF REPLACING THE SERVICE LINE TO 26010 PENN STREET, INKSTER, MI, 48141, SINCE 8:30 AM, WHEN THE HOUSE EXPLODED INJURING ONE (1) HOMEOWNER AND ONE (1) DTE GAS EMPLOYEE. THE INVESTIGATION DETERMINED THAT A LEAK OCCURRED AT A CORRODED SECTION OF THE 3/4-INCH SERVICE RISER IN THE CRAWL SPACE OF THE HOUSE DURING REMOVAL OF THE METER MANIFOLD ASSEMBLY. THE CORROSION APPEARS TO HAVE OCCURRED AT THE GROUND-TO-ATMOSPHERE TRANSITION AREA AND THE DISTURBANCE OF THE PIPING DURING REMOVAL CAUSED THE LEAK. EMPLOYEES WERE UNAWARE OF THE LEAKING GAS AS IT ACCUMULATED IN THE CRAWL SPACE AND IGNITED. A SOURCE OF IGNITION HAS NOT BEEN DETERMINED. ESTIMATED VOLUME OF GAS RELEASED UNINTENTIONALLY (PART A.7) AND ESTIMATED VOLUME OF GAS CONSUMED BY FIRE (PART A.21C) COULD NOT BE DETERMINED DUE TO UNKNOWN SIZE AND DURATION OF THE LEAK AND IS ASSUMED TO BE MINIMAL. NOTE: DTE MADE THE INITIAL REPORT TO THE NRC AT 10:40 AM, HOWEVER, WAS ON HOLD FOR 18 MINUTES, WHICH MATCHES THE NRC'S REPORT FOR INITIAL OPERATOR REPORT TIME TO NRC OF 10:58 AM.",0,1,YES,2023-05-02
2021,2021-12-08T16:43:00Z,E. 11 MILE ROAD,ROYAL OAK,OAKLAND,CONSUMERS ENERGY CO,"ON WEDNESDAY, DECEMBER 8, 2021 AT APPROXIMATELY 16:43 HOURS, CONSUMERS ENERGY RECEIVED NOTIFICATION OF A NATURAL GAS PIPELINE EXCAVATION DAMAGE FROM THE CONTRACTOR PERFORMING (BORING) WORK IN THE 300 BLOCK OF ELEVEN MILE ROAD, ROYAL OAK, (OAKLAND COUNTY) MICHIGAN.     A GAS SERVICE WORKER (GSW) WAS DISPATCHED AND ARRIVED ONSITE AT APPROXIMATELY 17:08 HOURS AND CONFIRMED A DAMAGED AND BLOWING 4-INCH NATURAL GAS PIPELINE AT 315 ELEVEN MILE ROAD. DISTRIBUTION EMPLOYEES WERE DISPATCHED AT 17:02 HOURS AND ARRIVED ONSITE AT APPROXIMATELY 18:34 HOURS.      THE DISTRIBUTION CREW EXCAVATED AT REMOTE LOCATIONS AND APPLIED SQUEEZERS TO CONTAIN THE BLOWING GAS.   THE DAMAGED PIPELINE SEGMENT WAS CUT OUT AND REPLACED WITH APPROXIMATELY 6-FOOT OF 4-INCH MEDIUM-PRESSURE PLASTIC PIPE AND NORMAL OPERATIONS RESUMED ON THURSDAY, DECEMBER 9, 2021 AT APPROXIMATELY 14:00 HOURS. THREE COMMERCIAL CUSTOMERS EXPERIENCED A LOSS OF SERVICE AS A RESULT OF THE DAMAGE AND SUBSEQUENT REPAIR.    CONSUMERS ENERGY SERVICE EMPLOYEES REMAINED ONSITE AND CONTINUOUSLY MONITORED THE LOCATION UNTIL THE GAS WAS CONTAINED AND THE PIPELINE SEGMENT WAS REPAIRED.  NO FATALITIES OR INJURIES OCCURRED AS A RESULT OF THE DAMAGE.",0,0,NO,2021-12-08
2021,2021-09-13T10:24:00Z,10015 W FORT ST,DETROIT,WAYNE,DTE GAS COMPANY,"9/12/21 GROUND HEAVE 10015 WEST FORT & DEARBORN STREET: GROUND HEAVE IMPACTED THE FOLLOWING UTILITIES: GREAT LAKES WATER AUTHORITY (GLWA), ATT, COMCAST, DTE ELECTRIC, AND DTE GAS (6-INCH CI 2 PSI, 16-INCH CI 10PSI, 24-INCH STEEL 145PSI). THE INVESTIGATION IS ONGOING WITH A UNIFORMED ICS (CITY OF DETROIT, MDOT, GLWA, DTE GAS) AND NO CAUSE HAS BEEN DETERMINED YET. A SUPPLEMENTAL REPORT WILL BE FILED WITH MORE DETAILS AND FOLLOW-UP OF THIS EVENT.     1/24/2022 UPDATE ON THE INCIDENT CAUSE: ON SEPTEMBER 11, 2021, SIGNIFICANT, UNEXPECTED GROUND MOVEMENT RESULTED IN TWO MAJOR HEAVE AREAS AND DAMAGE TO EXISTING BUILDINGS, PAVEMENT, AND UTILITY STRUCTURES INCLUDING DTE GAS INFRASTRUCTURE AT/NEAR THE INTERSECTION OF FORT STREET AND DEARBORN STREET IN DETROIT, MICHIGAN.  INVESTIGATIONS THUS FAR CONFIRM THE GROUND FAILURE OCCURRED DUE TO A RELATIVELY RAPID LOADING OF A LAYER OF SOFT CLAYS BETWEEN 25 AND 40 FT BELOW THE GROUND SURFACE. DTE UNDERSTANDS THAT THE RELATIVELY RAPID LOADING WAS CAUSED BY THE INCREASE IN HEIGHT AND WEIGHT OF A MILL SCALE STOCKPILE AT THE FORT IRON AND METAL FACILITY.  THE GROUND FAILURE OCCURRED CONCENTRICALLY AROUND THE LARGE STOCKPILE OF MATERIAL LOCATED AT THE PROPERTY, A METAL SCRAP YARD OWNED AND OPERATED BY FORT IRON & METAL COMPANY. ON INFORMATION AND BELIEF, THE MILL SCALE MATERIAL WAS STOCKPILED TO SOME DEGREE AT THIS LOCATION BY FORT SINCE AT LEAST MAY 2019.",0,0,NO,2021-09-13
2021,2021-07-07T10:13:00Z,14360 CORNELL TAYLOR,TAYLOR,WAYNE,DTE GAS COMPANY,"ON WEDNESDAY, JULY 7, 2021, AT APPROXIMATELY 9:30 AM A GENERAL FITTER (GF) WAS EXCAVATING A 3/4-INCH STEEL GAS SERVICE LINE IN A CUSTOMER'S LAWN TO COMPLETE A SERVICE RENEWAL. DURING THE COURSE OF THE WORK ACTIVITIES, THE 3/4-INCH STEEL GAS SERVICE LINE WAS BROKEN AT THE 3/4-INCH OUTLET OF THE SERVICE TEE, AND A 240 VOLT ENERGIZED ELECTRIC CABLE SUPPLYING STREET LAMPS WAS SEVERED. IT IS BELIEVED THAT THE SEVERED ELECTRICAL CABLES SERVED AS AN IGNITION SOURCE, IGNITING THE GAS WITHIN THE EXCAVATION. DURING THE RESULTING FIRE, THE GF SUFFERED INJURIES TO THE EXTENT THAT EMS RESPONDED AND TRANSPORTED THE EMPLOYEE TO THE HOSPITAL FOR TREATMENT. THE ROOT CAUSE IS THAT GENERAL FITTER AND FITTER FAILED TO FOLLOW THE PROCEDURE AND HAVE SEPARATED FROM THE COMPANY. SPECIFICALLY, FAILURE TO FOLLOW DISTRIBUTION & TRANSMISSION PROCEDURE(D&TP) 1.1 ""PREVENTING ACCIDENTAL IGNITION"", D&TP1.6 ""ENERGY GAS EXCAVATION AND CONFINED SPACE ENTRY,"" AND D&TP 4.6 ""IDENTIFYING AND PROTECTING UNDERGROUND UTILITIES, CONDUITS, AND STRUCTURES.""",0,1,YES,2021-07-07
2021,2021-04-09T21:27:00Z,14201 2ND AVENUE,HIGHLAND PARK,WAYNE,DTE GAS COMPANY,"DTE GAS WAS CONTACTED BY EMERGENCY RESPONDERS OF A GAS-RELATED INCIDENT AT 14201 2ND AVENUE IN HIGHLAND PARK, MICHIGAN ON APRIL 9TH, 2021 AT 21:27 AND ARRIVED ON-SITE AT 21:57. THE ADDRESS WAS CORRECTED FROM THE ORIGINAL CALLER WHICH WAS 14330 3RD AVENUE IN HIGHLAND PARK, MICHIGAN. A DRIVER RAN OFF THE ROAD (FROM A PARKING LOT) APPROXIMATELY 50 FEET AND HIT A BANK OF METERS LOCATED IN A NON-VEHICULAR LOCATION. THE CAR IGNITED THE BLOWING GAS. THE DRIVER WAS TAKEN TO THE HOSPITAL AND LATER DIED OF HIS INJURIES.",1,0,YES,2021-04-09
2020,2020-01-04T19:33:00Z,14406 EVERGREEN,DETROIT,WAYNE,DTE GAS COMPANY,"ON JANUARY 4, 2020, DTE GAS DISPATCH RECEIVED A CALL FROM 911 AT 19:33 OF AN EXPLOSION AT 14404 & 14406 EVERGREEN STREET IN DETROIT, MICHIGAN. THIS IS A RESIDENCE THAT IS CONSIDERED A 2-FAMILY FLAT (ONE STRUCTURE WITH TWO RESIDENCES). DTE GAS FIRST RESPONDERS ARRIVED ON-SITE AT 19:55 TO INVESTIGATE AND TERMINATE GAS SERVICE. THERE WERE 6 INDIVIDUALS TAKING TO THE HOSPITAL, ONE WITH BURNS AND 5 WITH SMOKE INHALATION. WORKING WITH DETROIT FIRE & ARSON, DTE GAS'S INTERNAL INVESTIGATION TEAM AND THE MICHIGAN PUBLIC SERVICE COMMISSION, IT WAS DETERMINED THAT THE CAUSE OF THIS INCIDENT WAS DUE TO AN AK 47 GUN THAT WAS SHOT IN THE HOUSE WHICH PENETRATED THE SERVICE LINE JUST BELOW THE METER & REGULATOR ASSEMBLY. THE CASE HAS BEEN TURNED OVER TO DETROIT POLICE FOR FURTHER INVESTIGATION.",0,6,YES,2020-01-04
2019,2019-09-04T18:32:00Z,45581 ECORSE ROAD,VAN BUREN TOWNSHIP,WAYNE,DTE GAS COMPANY,DTE GAS EMPLOYEES IDENTIFIED A LEAK ON THE 36-INCH VAN BORN PIPELINE DURING ROUTINE MAINTENANCE WORK ON 9/4/2019. THE PRESSURE WAS INITIAL LOWERED TO 215 PSIG AND MONITORED CONTINUOUSLY UNTIL A BLOW DOWN PROCEDURE WAS EXECUTED. IT WAS DETERMINED AFTER EXCAVATING THAT LEAK WAS ON PLUG IN FLANGE ON STOPPLE. IT APPEARED THAT THE COMPLETION PLUG INSIDE IS LEAKING AND POSSIBLY UNSEATED. THE REPAIR WAS MADE AND THE PIPE WAS RETURN TO SERVICE ON 9/16/19.,0,0,NO,2019-09-04
2019,2019-08-09T14:28:00Z,3340 W. TIENKEN,ROCHESTER HILLS,OAKLAND,CONSUMERS ENERGY CO,"ON AUGUST 9, 2019 AT APPROXIMATELY 14:28 HOURS CONSUMERS ENERGY WAS NOTIFIED OF DAMAGE TO A 6"" STEEL MEDIUM PRESSURE NATURAL GAS PIPELINE LOCATED NEAR 3340 W. TIENKEN, ROCHESTER HILLS, MICHIGAN (OAKLAND COUNTY).    A CONSUMERS ENERGY GAS SERVICE WORKER (GSW) ARRIVED AT APPROXIMATELY 14:50 HOURS CONFIRMING DAMAGE TO THE PIPELINE AND REQUESTED A DISTRIBUTION CREW.  THE DAMAGE LOCATION AND SURROUNDING AREAS WERE CONTINUOUSLY MONITORED UNTIL REPAIRS WERE COMPLETED.    FURTHER INVESTIGATION DETERMINED A CONTRACTOR BORING CONDUIT FOR ELECTRIC HAD PREVIOUSLY EXPOSED AND SUCCESSFULLY CROSSED THE PIPELINE.  HOWEVER DURING THE PULL BACK THEIR BORE SHOT APPEARED TO FLEX UPWARD RESULTING IN LOSS OF CLEARANCE AND SUBSEQUENT DAMAGE TO THE NATURAL GAS PIPELINE.    THE DISTRIBUTION CREW ARRIVED ONSITE AT APPROXIMATELY 16:57 HOURS.  MUELLER CONTROL FITTINGS WERE INSTALLED TO ISOLATE THE DAMAGE SEGMENT AND A PLIDCO BOLTED SPLIT SLEEVE FITTING USED AS A TEMPORARY REPAIR. A PUMPKIN WAS INSTALLED ON AUGUST 22, 2019 TO PERMANENTLY REPAIR THE DAMAGED SEGMENT.",0,0,NO,2019-08-09
2019,2019-05-21T16:00:00Z,3369 ANTIGUA,AUBURN HILLS,OAKLAND,CONSUMERS ENERGY CO,"ON MAY 21, 2019 AT APPROXIMATELY 16:00 HOURS A CONSUMERS ENERGY DISTRIBUTION CREW DAMAGED A 2"" PLASTIC MEDIUM PRESSURE NATURAL GAS PIPELINE DURING A PIPELINE LOWERING PROJECT. THE PIPELINE IS LOCATED NEAR 3369 ANTIGUA DRIVE, AUBURN HILLS, MICHIGAN (OAKLAND COUNTY). THE INCIDENT WAS REPORTED TO THE NRC AND MPSC AS 3355 KASSANDRA WAY, AUBURN HILLS, MICHIGAN PER CONSUMERS ENERGY'S SIMS RECORD(SERVICE CARD RECORD).    WHILE ATTEMPTING  TO EXPOSE THE PIPELINE DAMAGE, THE OPERATOR MADE CONTACT WITH THE ELECTRIC SERVICE LINE (LOCATED IN A JOINT TRENCH WITH APPROXIMATELY 19.5"" SEPARATION) CAUSING THE BLOWING GAS TO IGNITE. THE EMPLOYEE OPERATING THE EXCAVATION EQUIPMENT WAS INJURED AND THE EQUIPMENT AND BUILDING UNDER CONSTRUCTION WERE SIGNIFICANTLY DAMAGED BY FIRE.      A GAS SERVICE WORKER (GSW) ARRIVED AT APPROXIMATELY 16:19 HOURS AND BEGAN MONITORING THE SURROUNDING BUILDING FOR GAS MIGRATION.  THE GSW'S CONTINUOUSLY MONITORED THE SITE UNTIL THE FIRE WAS EXTINGUISHED AND THE PIPELINE WAS CAPPED.    THE DISTRIBUTION CREW ARRIVED AT APPROXIMATELY 17:18 HOURS, THE PIPELINE WAS SQUEEZED AT TWO REMOTE LOCATIONS STOPPING GAS FROM BLOWING.  ONCE THE FIRE WAS EXTINGUISHED, THE PIPELINE WAS CUT AND CAPPED AND THE AREA WAS SECURED FOR FURTHER INVESTIGATION.     ON MAY 22, 2019 A CREW RETURNED TO THE ANTIGUA LOCATION TO REMOVE THE DAMAGED PORTION OF THE PIPELINE AND THE EXCAVATING EQUIPMENT.  THE DAMAGED PORTION OF THE PIPE WAS TRANSPORTED TO THE CONSUMERS ENERGY ROYAL OAK SERVICE CENTER AND STORED IN A SECURE LOCATION FOR FUTURE INVESTIGATION.    THE DAMAGED SECTION OF PIPELINE WAS REPLACED BY INSTALLING (OPEN TRENCHING) 208' OF 2"" PLASTIC PIPELINE AT THE APPROPRIATE DEPTH.  NORMAL OPERATIONS RESUMED ON MAY 24, 2019 AT APPROXIMATELY 16:00 HOURS.    AN RCA TEAM WAS ASSEMBLED TO INVESTIGATE THE DETAILS OF THE INCIDENT, DETERMINE THE ROOT CAUSE AND/OR CONTRIBUTING FACTORS AND IMPLEMENT MEASURES TO PREVENT FUTURE OCCURRENCES.  THE RESULTS OF THE INVESTIGATION WILL BE PROVIDED TO THE MICHIGAN PUBLIC SERVICE COMMISSION (MPSC) UPON COMPLETION.",0,1,YES,2019-05-21
2019,2019-03-09T11:58:00Z,PARKDALE AVENUE AND MILLER AVENUE,ROCHESTER,OAKLAND,CONSUMERS ENERGY CO,"ON MARCH 9, 2019 AT APPROXIMATELY 11:58 HOURS CONSUMERS ENERGY WAS NOTIFIED OF AN ODOR OF GAS BY THE PROPERTY OWNER AT 712 PARKDALE AVENUE, ROCHESTER (OAKLAND COUNTY) MICHIGAN.     A GAS SERVICE WORKER (GSW) ARRIVED AT THE PROPERTY AT APPROXIMATELY 12:33 HOURS AND BEGAN PERFORMING A LEAK INVESTIGATION.  READINGS WERE DISCOVERED (1.5% LEL) INSIDE THE HOME AT OR NEAR THE FLOOR DRAIN.  THE GSW EXPANDED THE LEAK INVESTIGATION AND DISCOVERED 30% GAS READS AT THE SEWER.  THE GSW REQUESTED ADDITIONAL ASSISTANCE AND CONTINUED THE INVESTIGATION TO IDENTIFY THE SOURCE OF GAS.    ADDITIONAL RESOURCES ARRIVED TO ASSIST WITH INVESTIGATING NEARBY HOMES AND SEWERS.  INITIAL READS DISCOVERED DURING THE LEAK INVESTIGATION WERE AS FOLLOWS:    712 PARKDALE, 615 PARKDALE AND 815 MILLER HAD LOW READS RANGING FROM 0.5% TO 1.5% LEL. 702 PARKDALE HAD 30% LEL AND 703 PARKDALE HAD 9% LEL IN THE HOME.    PER PROCEDURES, BOTH 702 AND 703 WERE EVACUATED AND DISPATCH NOTIFIED LOCAL UTILITY TO DE-ENERGIZE 702 AND 703 PARKDALE.     OUTSIDE GAS READS WERE ALSO DISCOVERED AT THE WALL OF BOTH 702 PARKDALE AVE. (90%) AND 703 PARKDALE AVE. (100%).      CONSUMERS ENERGY EMPLOYEES CONTINUED TO PERFORM LEAK PINPOINTING AND CONTINUOUS MONITORING OF THE LOCATION UNTIL THE SOURCE OF GAS WAS IDENTIFIED.  THE SOURCE OF GAS WAS DISCOVERED ON MARCH 10, 2019 AT APPROXIMATELY 21:45 HOURS AND WAS DETERMINED TO BE A CORROSION LEAK ON A 6"" STEEL END CAP AT THE INTERSECTION OF PARKDALE AVENUE AND MILLER AVENUE.  THE LEAK WAS CONTAINED BY INSTALLING A TEMPORARY PLUG AND CE EMPLOYEES REMAINED ON SITE TO MONITOR UNTIL A PERMANENT REPAIR WAS COMPLETED     THE END CAP WAS REPLACED ON MARCH 11, 2019 AT APPROXIMATELY 12:00 HOURS AND SERVICE WAS RESTORED TO 702 AND 703 PARKDALE AVENUE AT APPROXIMATELY 16:00 HOURS.    GAS SERVICE CONTINUED TO MONITOR THE AREA UNTIL GAS READS IN THE HOUSES, OUTSIDE AERATION SPOTS AND SEWER MAINTAINED ZERO ON MARCH 14, 2019 AT APPROXIMATELY 15:07 HOURS.",0,0,NO,2019-03-09
